title crabeater seal																		
WS10																		
WS11																		
LS8																		
LS16																		
CS6																		
CS26																		
CS28																		
G1A																		
Pop																		
1	,	992992	173173	115117	128144	241247	285297	134140	180196									
2	,	992994	163175	105113	142150	211243	287297	128130	190194									
3	,	994996	173183	105117	134144	215243	295297	132134	184190									
4	,	996996	161169	105115	144148	221245	297299	130130	184210									
5	,	992996	167169	117121	132150	229247	297301	130136	202206									
6	,	994996	159171	113121	128146	211241	295301	132132	186186									
7	,	992996	159169	117121	144144	235237	299301	130132	188192									
8	,	992992	163177	117119	142144	241241	297299	128132	196200									
9	,	100992	167177	105119	128146	211215	285301	130130	178182									
10	,	100992	173175	105111	128144	237241	285285	132136	182190									
11	,	100992	159163	119141	142148	241247	301303	132132	184190									
12	,	992996	163167	115117	144146	215239	299301	130134	186198									
13	,	992992	155163	113115	144152	215243	285299	130132	188190									
14	,	992996	163173	105111	146150	215243	295299	130132	184188									
15	,	992996	163173	117119	142144	211233	285297	130132	182186									
16	,	992994	147169	119123	142146	217247	283287	130130	192204									
17	,	100992	163175	117121	142146	233233	297301	130134	188202									
18	,	994996	161173	115139	128144	245245	285297	130132	186196									
19	,	992994	173173	111123	146148	215241	285293	132136	178210									
20	,	108996	165169	111113	138146	211239	295297	130132	184192									
21	,	992996	149163	105117	128132	239243	285297	124132	184212									
22	,	992998	167173	113119	144144	211245	295297	132132	190200									
23	,	996996	173173	111119	144144	227245	295295	132132	188212									
24	,	992998	165169	121145	138140	215215	295297	130130	188190									
25	,	992994	169169	115117	144144	241243	297299	130132	200208									
26	,	992996	161163	101115	146146	223245	295299	130134	186192									
27	,	992992	159171	101115	144152	215215	293297	132132	190192									
28	,	992996	163165	113121	142148	219243	297301	130136	186190									
29	,	992998	175175	121125	132138	235241	283297	132132	188192									
30	,	994996	171175	000000	144146	215215	295301	130132	186198									
31	,	994996	161163	103121	130134	211235	285299	132132	192206									
32	,	114994	165177	107119	148148	211237	285297	132132	196198									
33	,	992994	161169	115141	140150	211247	285297	130132	186186									
34	,	992996	163167	101117	136152	245245	297299	134136	000000									
35	,	994996	165175	117123	140148	243245	285299	130130	186192									
36	,	996996	159165	119125	144146	229243	285287	132132	186192									
37	,	994996	169177	115119	144144	215241	297299	130134	192198									
38	,	994996	165173	119123	140144	211241	285297	130132	190198									
39	,	992996	161169	117119	138142	227229	285299	132134	174174									
40	,	992994	167179	101107	138150	211215	299307	130134	188192									
41	,	992996	171175	111123	138144	215243	287305	128132	000000									
42	,	994996	159167	119127	128142	211227	285297	134136	188192									
43	,	992998	165177	105117	142146	241243	297299	132132	000000									
44	,	992996	163171	109119	132148	229245	297323	130130	186190									
45	,	992992	169177	117121	128146	211211	285297	132132	192212									
46	,	992996	159167	109113	142152	211215	285299	130138	190194									
47	,	994994	169171	101115	128148	215233	285297	130134	186186									
48	,	992992	147165	115119	146158	215243	285301	130130	178194									
49	,	992994	163169	115117	144146	243243	285301	130132	188188									
50	,	992994	157171	105107	146148	219239	285297	132132	190192									
51	,	100992	161171	121137	150152	211215	285299	130130	188200									
52	,	992998	155167	119119	144152	215237	285299	130130	188200									
53	,	992996	171183	103119	128128	233245	297297	132132	186190									
54	,	992996	167171	101113	134148	215237	287299	130130	190198									
55	,	992996	159171	101133	142144	215229	285297	126132	192212									
56	,	992996	169179	111119	142150	217239	297301	136136	194196									
57	,	992996	161173	117121	130140	241245	285299	132132	190198									
58	,	134996	147173	111115	128128	215217	299299	132132	190198									
59	,	992992	169175	117117	136136	233243	285287	130132	192204									
60	,	992992	167173	119121	138144	233239	285285	130132	188190									
61	,	992996	175175	115121	138154	215239	285303	130132	190194									
62	,	992996	169173	111117	128140	215215	297297	132138	186206									
63	,	992996	177179	109121	142146	219233	299303	130132	186216									
64	,	992998	163169	105121	138146	211239	285287	124130	180192									
65	,	994996	171173	113117	128142	211235	295297	130130	192208									
66	,	992996	153173	115117	138148	215227	295299	130130	188194									
67	,	992996	165175	117119	128150	235241	287297	130136	192200									
68	,	992992	163169	103123	128142	239243	295299	130132	196202									
69	,	992992	163165	105145	144144	215251	295301	130132	188196									
70	,	992992	173177	113121	142146	223235	299301	132132	190192									
71	,	992996	155173	113121	144146	215215	295297	130130	192204									
