"title Weddell seal dataset, cluster 1 = populations 1,3,4,5 and 6"															
WS4															
WS7															
WS10															
WS11															
WS20															
LS8															
LS14															
LS16															
LS20															
CS26															
CS28															
G1A															
Pop															
1	,	2533	5963	3640	7576	3034	6163	7480	3434	1113	4345	2727	3636		
2	,	3137	6565	2830	7380	2428	6371	8484	3646	1113	4749	2727	3236		
3	,	2548	5965	2628	7377	2838	6365	8484	3436	1113	4749	2727	3032		
4	,	2735	6573	3436	7579	2426	5967	7482	3636	1315	4349	2727	3036		
5	,	3333	5971	3244	7577	2430	6166	8484	3446	1315	4347	2727	3036		
6	,	3333	6569	2638	7577	2428	6769	8080	3436	1113	4147	2727	3030		
7	,	3135	5967	3640	7373	2832	6371	8690	3436	1113	4141	2727	3840		
8	,	3548	6569	2632	6177	2828	6363	8080	3434	1313	4549	2727	2636		
9	,	3233	5965	2630	7477	2828	5559	7484	3434	1313	4347	2727	3046		
10	,	3148	6565	3036	7577	2830	5967	7884	2836	1113	4349	2727	3036		
11	,	3333	6569	2638	6973	2638	5963	7484	3636	1115	4747	2727	3032		
12	,	2525	7173	2834	6978	2828	6565	8084	2836	1111	3945	2727	3638		
13	,	3737	6565	2434	7477	3038	6371	7886	3442	1111	4949	2727	3638		
14	,	3333	6565	3234	7178	2430	5167	7884	3434	1113	4547	2735	3236		
15	,	2533	5965	3636	7579	2834	5161	7474	3434	1113	4545	2727	3636		
16	,	3133	5969	2634	7577	2430	5167	8488	2834	1315	4349	2727	3236		
17	,	3348	6565	2630	7577	2830	6363	8484	2842	3737	4147	2727	3036		
18	,	3133	5965	2626	7678	2430	6163	8484	3442	1313	4347	2727	3636		
19	,	3148	6373	2630	7377	2828	6363	8086	3436	1337	4347	2727	3036		
20	,	2931	6363	2634	7173	2830	5569	7880	3436	1113	4759	2735	3040		
21	,	3333	6565	3034	7377	2828	5353	8484	3636	1113	4345	2727	3036		
22	,	3233	7173	3038	7577	2628	8989	7474	3436	1313	4747	2727	3030		
23	,	3348	6573	2632	6880	2438	5965	8090	3438	1515	4345	2727	3040		
24	,	2733	6565	2626	7375	2834	5357	8484	3636	1315	4949	2727	3030		
25	,	3132	6565	3646	7579	2628	5355	7484	3434	1115	4143	2727	3036		
26	,	3233	5965	3638	7979	2428	5571	8484	3434	1113	4355	2727	3030		
27	,	3241	6365	2634	7677	2630	5359	8284	3636	1113	4547	2727	3038		
28	,	3333	6565	2634	7576	2630	5363	7884	3636	1113	4143	2727	3636		
29	,	2537	5965	2632	7879	2428	5353	8084	3436	1339	4143	2727	3036		
30	,	2535	5959	2828	7578	2428	6367	8084	3434	1339	4347	2727	3434		
31	,	3333	5963	2638	7777	2430	6371	8484	3636	1313	4349	2727	2636		
32	,	2731	5973	2832	7577	2832	6366	7484	3636	1313	4147	2727	3040		
33	,	3133	6573	2626	7582	2230	6769	7488	3442	1137	4547	2727	3048		
34	,	3348	6365	3642	7677	2426	5563	8488	3636	1113	4143	2735	3036		
35	,	3452	5965	2432	7577	2830	6165	8286	3434	1315	4749	2727	3036		
36	,	3537	6565	2632	7377	2828	5767	8484	3636	1317	3945	2727	3046		
37	,	3348	6565	3438	7781	2428	5361	7678	3436	1113	4347	2727	3438		
38	,	3334	6165	2638	7777	2830	6365	8484	3436	1113	4143	2727	3436		
39	,	3348	6365	3238	7777	2830	6163	7484	3436	1313	4547	2727	3036		
40	,	2734	6365	2640	7173	2428	6171	7684	2834	1313	3943	2735	3036		
41	,	2735	6565	3038	7787	3436	6363	7884	3636	1313	4749	2727	3038		
42	,	3348	6365	2436	7377	2832	5167	8486	3434	1111	4547	2735	3638		
43	,	3548	6365	3038	7377	2828	5763	8486	3636	1737	4145	2727	3030		
44	,	3133	6565	2634	6973	2828	5359	7484	3636	1315	3943	2727	3032		
45	,	2532	5965	2830	7380	2828	6567	8084	3446	1113	4349	2727	3036		
46	,	2727	5965	2626	7575	2830	5569	8486	3434	1337	4343	2727	3036		
47	,	3339	6565	3036	6977	2640	5357	7684	3434	1113	4351	2727	3036		
48	,	3333	6571	2638	7779	2426	5765	7884	3038	1315	4351	2727	3040		
49	,	2533	6565	2634	7179	2830	6367	7884	3436	1111	4547	2735	3036		
50	,	3337	6565	3034	6975	2428	6573	8486	3436	1113	4143	2727	3036		
51	,	2527	5965	2638	7576	2428	5357	6684	3436	1313	4345	2727	3640		
52	,	3333	6565	3232	7275	2430	6369	8484	3436	1337	3943	2727	3034		
53	,	3548	6565	3442	7378	2434	5563	7880	3034	1313	3537	2727	3034		
54	,	3348	6365	2636	7481	2828	5361	8284	2836	1113	4347	2727	3030		
55	,	2535	6565	2630	7179	2830	5165	7880	3642	1313	4545	2735	2636		
56	,	3335	6565	2626	7579	3440	5153	6682	3434	1313	4749	2735	3030		
57	,	2533	6565	2832	7475	2828	6571	8484	3636	1313	4347	2727	3636		
58	,	3133	6565	3436	7579	2424	5389	8486	3434	1137	4349	2727	2630		
59	,	3537	6565	2636	7981	2836	5969	8484	3434	1315	4347	2727	3032		
60	,	3337	5967	2632	7577	2834	6789	7884	3436	1315	4547	2735	3040		
61	,	3352	6565	3440	7377	2428	5361	8086	3434	1113	4345	2727	3036		
62	,	2737	6565	3436	7980	2828	5365	7384	3636	1315	4555	2727	3032		
63	,	3435	6565	2426	7373	3030	6367	8284	3434	1111	4545	2727	3036		
64	,	3535	6573	2636	7376	2830	5969	8084	3636	1113	4347	2727	3636		
65	,	3333	6369	2630	7577	2436	6365	8484	2834	1313	3943	2727	3440		
66	,	3748	6565	3234	7581	2424	6369	7378	3434	1113	4549	2735	3030		
67	,	3333	6565	2626	7382	2434	5359	8486	3434	1113	4145	2727	3636		
68	,	3348	6565	3240	7777	2430	5563	8484	3436	1313	4347	2735	3030		
69	,	2537	6565	2626	7377	2424	6169	7884	3436	1317	4143	2727	3648		
70	,	3237	5967	2634	7577	2830	5363	8484	3436	1315	4547	2735	3638		
71	,	1933	6565	2626	7377	2428	5363	8084	3636	1313	4549	2735	2638		
72	,	2535	6569	2634	6169	2836	6365	7882	3636	1313	4951	2727	4040		
73	,	3131	6565	2628	7577	3436	5963	7280	3434	1313	4345	2731	3036		
